  EVENTID,AUTHOR,DATE,TIME,LAT,LON,DEPTH,DEPFIX,AUTHOR,TYPE,MAG
611402879,DJA      ,1/9/2015,35:51.6,-9.1,107.84,10,      ,DJA      ,MLv   ,3.8
606931151,ISC      ,1/9/2015,53:43.2,-2.8783,129.6142,28,TRUE  ,ISC      ,mb    ,4.1
606931153,ISC      ,1/9/2015,44:53.0,-7.8488,129.5626,100,TRUE  ,NOU      ,mb    ,4.1
606931154,ISC      ,1/9/2015,50:52.6,-1.3655,126.2423,35,TRUE  ,ISC      ,mb    ,4.4
606931159,ISC      ,1/9/2015,01:16.9,-7.5904,106.6857,55,      ,ISC      ,mb    ,4.4
606931160,ISC      ,1/9/2015,07:21.9,2.3991,127.0749,53,TRUE  ,ISC      ,mb    ,3.4
606931164,ISC      ,1/9/2015,03:58.6,-7.716,128.7003,151,TRUE  ,NOU      ,mb    ,4
606931166,ISC      ,1/9/2015,19:36.1,1.5982,127.3627,150,TRUE  ,ISC      ,mb    ,4.3
606931170,ISC      ,1/9/2015,46:22.8,2.2932,126.1281,105,TRUE  ,ISC      ,mb    ,3.7
606510059,ISC      ,1/9/2015,59:10.9,2.605,96.0417,36.8,      ,ISC      ,mb    ,5.2
606931181,IDC      ,1/10/2015,07:27.6,-6.5721,128.4484,280.9,      ,IDC      ,mb    ,2.6
606931195,IDC      ,1/10/2015,24:54.6,-6.6696,129.6472,134.5,      ,IDC      ,mb    ,2.9
611019517,MAN      ,1/10/2015,46:50.6,5.225,126.155,59,      ,MAN      ,mb    ,4.3
606931209,ISC      ,1/10/2015,23:53.7,4.8083,126.0491,100,TRUE  ,ISC      ,mb    ,3.9
606931213,ISC      ,1/10/2015,49:21.9,-6.7314,130.1674,146,TRUE  ,IDC      ,mb    ,3.5
606931220,IDC      ,1/10/2015,23:54.1,-6.7921,129.6319,131.8,      ,IDC      ,mb    ,3.9
606931223,ISC      ,1/10/2015,53:06.6,-8.261,108.0478,35,TRUE  ,ISC      ,mb    ,3.4
611402892,DJA      ,1/10/2015,18:21.3,-0.04,123.42,139,      ,DJA      ,MLv   ,3
606931234,ISC      ,1/10/2015,36:33.6,-4.5167,139.2297,44,TRUE  ,IDC      ,mb    ,3.3
606931236,ISC      ,1/10/2015,48:53.0,2.5904,126.6268,35,TRUE  ,ISC      ,mb    ,4.3
611402891,DJA      ,1/10/2015,49:36.8,-0.41,121.96,10,      ,DJA      ,MLv   ,3
606931248,ISC      ,1/10/2015,12:05.2,5.5154,126.346,10,TRUE  ,ISC      ,mb    ,3.4
611402909,ISC      ,1/11/2015,50:35.4,-4.7054,102.0285,10,TRUE  ,ISC      ,mb    ,3.8
606931274,ISC      ,1/11/2015,09:03.0,-6.9634,127.0317,407,TRUE  ,ISC      ,mb    ,3.3
606931275,IDC      ,1/11/2015,17:04.3,5.4834,123.3617,393.7,      ,IDC      ,mb    ,2.8
606931286,IDC      ,1/11/2015,24:22.7,-6.4345,129.8494,126,      ,IDC      ,mb    ,3.1
606931287,ISC      ,1/11/2015,29:08.0,-2.6335,130.0094,10,TRUE  ,IDC      ,mb    ,3.9
611402905,DJA      ,1/11/2015,01:19.8,-0.16,123.04,108,      ,DJA      ,MLv   ,3
606931291,ISC      ,1/11/2015,42:48.1,4.7954,127.357,108,TRUE  ,ISC      ,mb    ,3.9
611447817,NOU      ,1/11/2015,16:17.9,-7.86,129.9,266,      ,NOU      ,mb    ,3.6
606931299,ISC      ,1/11/2015,57:42.6,5.0313,127.4196,10,TRUE  ,ISC      ,mb    ,4.2
606931306,ISC      ,1/11/2015,41:36.8,-9.4904,124.1839,100,TRUE  ,IDC      ,mb    ,3.4
611402904,DJA      ,1/11/2015,26:41.4,-0.47,123.2,20,      ,DJA      ,MLv   ,3.8
606931316,ISC      ,1/11/2015,54:17.7,-6.0445,128.8156,264,TRUE  ,IDC      ,mb    ,3.1
606931318,ISC      ,1/11/2015,11:08.7,1.8181,128.2311,134,TRUE  ,ISC      ,mb    ,3.4
606931325,ISC      ,1/11/2015,31:16.7,0.8317,121.9883,50,TRUE  ,ISC      ,mb    ,3.3
606931334,ISC      ,1/11/2015,15:48.8,-4.6055,125.808,400,TRUE  ,IDC      ,mb    ,2.9
606931344,ISC      ,1/11/2015,10:16.9,-6.5917,129.6128,165,TRUE  ,NOU      ,mb    ,4
606931346,ISC      ,1/11/2015,25:06.1,-7.1182,129.1394,150,TRUE  ,ISC      ,mb    ,3.6
606931351,ISC      ,1/11/2015,21:55.7,4.4776,124.6421,300,TRUE  ,ISC      ,mb    ,3.8
606931352,ISC      ,1/11/2015,51:13.5,2.0619,126.1999,35,TRUE  ,ISC      ,mb    ,4.2
606931356,ISC      ,1/12/2015,16:29.2,1.8731,96.8192,28,TRUE  ,ISC      ,mb    ,4.3
606931358,ISC      ,1/12/2015,45:44.9,-0.8211,100.0834,93.8,      ,ISC      ,mb    ,4.2
606931361,ISC      ,1/12/2015,07:23.4,-3.6767,141.4833,33,TRUE  ,ISC      ,mb    ,4.5
611402925,DJA      ,1/12/2015,5:51:24,0.36,121.59,139,      ,DJA      ,MLv   ,2.3
611402924,DJA      ,1/12/2015,46:23.8,0.56,121.38,31,      ,DJA      ,MLv   ,3.5
606931379,ISC      ,1/12/2015,18:26.5,-2.8765,129.2717,28,TRUE  ,DJA      ,MLv   ,3.7
611402923,DJA      ,1/12/2015,20:28.5,-7.87,107.29,25,      ,DJA      ,MLv   ,3.5
606931381,ISC      ,1/12/2015,41:43.3,0.4471,98.1967,29,TRUE  ,ISC      ,mb    ,3.8
606931385,IDC      ,1/12/2015,15:49.9,-2.8562,139.1999,284.2,      ,IDC      ,mb    ,2.9
606931387,ISC      ,1/12/2015,46:36.7,2.7225,123.384,400,TRUE  ,ISC      ,mb    ,3.9
606931393,ISC      ,1/12/2015,22:32.7,-6.6255,130.3861,100,TRUE  ,IDC      ,mb    ,3.2
611402922,DJA      ,1/12/2015,05:45.1,-8.4,115.43,11,      ,DJA      ,MLv   ,2.9
606931398,ISC      ,1/12/2015,06:35.4,0.8785,126.3149,39,TRUE  ,ISC      ,mb    ,3.9
611402921,DJA      ,1/12/2015,18:46.3,0.27,125.23,10,      ,DJA      ,MLv   ,3.4
606931403,IDC      ,1/12/2015,30:01.3,-5.9777,130.3825,0,TRUE  ,IDC      ,mb    ,3.5
606931404,ISC      ,1/12/2015,01:04.2,-3.0471,128.052,38,TRUE  ,ISC      ,mb    ,3.2
606931410,ISC      ,1/12/2015,53:25.7,1.7616,126.3737,47,TRUE  ,ISC      ,mb    ,4
611402920,DJA      ,1/12/2015,19:03:03,-0.1,122.99,85,      ,DJA      ,MLv   ,2.5
606512007,ISC      ,1/12/2015,31:50.5,4.2689,124.3064,350,TRUE  ,ISC      ,mb    ,4.5
611019532,MAN      ,1/12/2015,49:05.0,5.49,125.821,97,      ,MAN      ,mb    ,4.4
606512011,ISC      ,1/12/2015,25:14.6,-5.6107,133.85,24.9,      ,ISC      ,mb    ,5.8
606512012,ISC      ,1/12/2015,51:57.0,-4.4608,101.9964,37,TRUE  ,ISC      ,mb    ,4.6
606931420,ISC      ,1/12/2015,34:20.2,4.8539,127.4767,108,TRUE  ,ISC      ,mb    ,3.4
611402933,DJA      ,1/13/2015,19:19.9,-2.82,122.33,35,      ,DJA      ,MLv   ,3.5
606931433,ISC      ,1/13/2015,26:02.4,6.2128,126.2648,138.8,      ,ISC      ,mb    ,3.8
606931446,IDC      ,1/13/2015,12:30.7,0.0467,126.8176,64.2,      ,IDC      ,mb    ,3.4
606931449,ISC      ,1/13/2015,39:48.0,-7.7168,128.7357,151,TRUE  ,ISC      ,mb    ,3.6
606931452,ISC      ,1/13/2015,06:40.4,-10.5205,123.769,27,TRUE  ,ISC      ,mb    ,4.2
606931460,IDC      ,1/13/2015,18:18.4,-7.1506,125.2788,510.8,      ,IDC      ,mb    ,2.4
606931465,IDC      ,1/13/2015,23:32.8,-10.0603,120.6935,226.6,      ,IDC      ,mb    ,2.8
606931466,ISC      ,1/13/2015,56:49.7,-7.7895,128.0336,150,TRUE  ,ISC      ,mb    ,4.5
611402930,DJA      ,1/13/2015,09:43.5,-8.94,116.19,70,      ,DJA      ,MLv   ,3
611019540,MAN      ,1/13/2015,18:10.2,5.746,126.341,47,      ,MAN      ,mb    ,4.1
611402936,DJA      ,1/14/2015,44:54.8,-0.36,125.2,10,      ,DJA      ,MLv   ,3.8
611402944,DJA      ,1/14/2015,21:53.9,-0.13,122.98,92,      ,DJA      ,MLv   ,3.7
611402943,DJA      ,1/14/2015,34:42.9,-0.04,123.28,127,      ,DJA      ,MLv   ,2.9
606931495,DJA      ,1/14/2015,35:48.6,0.01,126.67,10,      ,DJA      ,MLv   ,3.4
611402942,DJA      ,1/14/2015,57:43.5,-3.94,119.49,10,      ,DJA      ,MLv   ,2.6
606931501,ISC      ,1/14/2015,01:29.7,-9.5255,112.8621,57.1,      ,ISC      ,mb    ,4.3
611402941,DJA      ,1/14/2015,42:43.6,-9.08,124.07,21,      ,DJA      ,MLv   ,3.2
611402940,DJA      ,1/14/2015,52:04.8,0.19,122.46,126,      ,DJA      ,MLv   ,2.9
606931508,ISC      ,1/14/2015,08:40.8,-6.9755,129.6404,139,TRUE  ,ISC      ,mb    ,3.9
611402939,DJA      ,1/14/2015,12:00.4,-8.37,119.65,161,      ,DJA      ,MLv   ,3.7
606931509,ISC      ,1/14/2015,35:26.0,-9.5519,112.909,36,TRUE  ,ISC      ,mb    ,4.1
606931512,ISC      ,1/14/2015,24:00.8,-3.7745,129.3601,35,TRUE  ,ISC      ,mb    ,3.9
606931513,ISC      ,1/14/2015,55:45.1,-9.5483,112.8347,36,TRUE  ,ISC      ,mb    ,3.8
611402938,DJA      ,1/14/2015,05:43.8,1.06,120.28,10,      ,DJA      ,MLv   ,2.9
606931517,ISC      ,1/14/2015,29:08.3,5.2464,126.7714,10,TRUE  ,ISC      ,mb    ,3.8
611402937,DJA      ,1/14/2015,44:52.4,-2.39,120.79,13,      ,DJA      ,MLv   ,3.8
606931527,ISC      ,1/14/2015,08:30.6,1.0793,97.1171,25,TRUE  ,ISC      ,mb    ,4.4
606931531,ISC      ,1/14/2015,00:52.5,-6.6463,129.8974,200,TRUE  ,ISC      ,mb    ,4.2
606931532,IDC      ,1/14/2015,07:10.3,-6.5657,130.5781,313.3,      ,IDC      ,mb    ,3.3
606544745,ISC      ,1/15/2015,09:27.3,0.1272,120.0159,58.9,      ,ISC      ,mb    ,5.2
611402964,DJA      ,1/15/2015,1:41:12,1.01,122.1,10,      ,DJA      ,MLv   ,3.1
606931537,ISC      ,1/15/2015,41:49.8,-3.8121,126.163,35,TRUE  ,ISC      ,mb    ,4.3
611402963,DJA      ,1/15/2015,42:10.2,-7.19,121.1,28,      ,DJA      ,MLv   ,3.1
611402962,DJA      ,1/15/2015,43:09.7,-10.58,123.31,21,      ,DJA      ,MLv   ,2.8
606544756,ISC      ,1/15/2015,49:00.4,-2.9529,129.7061,28,TRUE  ,ISC      ,mb    ,4.7
611402961,DJA      ,1/15/2015,04:14.2,-8.29,116.84,139,      ,DJA      ,MLv   ,2.7
611402960,DJA      ,1/15/2015,58:07.7,-2.34,121.16,10,      ,DJA      ,MLv   ,3.4
611402959,DJA      ,1/15/2015,24:42.2,-8.42,123.76,89,      ,DJA      ,MLv   ,3
611402958,DJA      ,1/15/2015,40:07.9,-8.84,123.67,112,      ,DJA      ,MLv   ,2.9
611447842,NOU      ,1/15/2015,00:11.1,-7.98,129.22,192,      ,NOU      ,mb    ,3.5
606931560,ISC      ,1/15/2015,51:57.0,0.1193,126.0749,44,TRUE  ,ISC      ,mb    ,3.9
606931563,ISC      ,1/15/2015,18:35.0,-9.6749,112.8358,36,TRUE  ,ISC      ,mb    ,4.2
611402957,DJA      ,1/15/2015,46:02.9,4.17,97.15,10,      ,DJA      ,MLv   ,3
606549537,ISC      ,1/15/2015,01:52.7,-4.7283,102.8055,68.7,      ,ISC      ,mb    ,5.2
606931565,ISC      ,1/15/2015,32:06.8,-1.4259,136.9168,32,TRUE  ,ISC      ,mb    ,3.5
606582667,ISC      ,1/15/2015,57:18.8,5.2109,94.3132,50.9,      ,ISC      ,mb    ,4.6
611402956,DJA      ,1/15/2015,09:37.6,-8.32,120.76,26,      ,DJA      ,MLv   ,3.7
611402955,DJA      ,1/15/2015,38:26.2,-2.28,140.46,10,      ,DJA      ,MLv   ,3.1
606931576,ISC      ,1/15/2015,02:16.0,3.7263,126.8572,35,TRUE  ,ISC      ,mb    ,4.1
606582687,ISC      ,1/15/2015,38:23.6,-1.1912,127.1163,34,TRUE  ,ISC      ,mb    ,4.4
606931583,ISC      ,1/15/2015,43:47.2,-6.7555,129.7002,150,TRUE  ,ISC      ,mb    ,4.2
611402954,DJA      ,1/15/2015,59:35.9,2.06,126.78,10,      ,DJA      ,MLv   ,3.9
611402953,DJA      ,1/15/2015,04:15.9,-0.88,100.04,10,      ,DJA      ,MLv   ,2.9
611402952,DJA      ,1/15/2015,43:20.9,-9.14,124.48,97,      ,DJA      ,MLv   ,2.2
606931584,ISC      ,1/16/2015,32:24.3,-9.1556,109.7906,35,TRUE  ,ISC      ,mb    ,4.2
611019553,MAN      ,1/16/2015,22:59.1,5.881,125.979,139,      ,MAN      ,MS    ,3.5
611402988,DJA      ,1/16/2015,01:12.6,-3.74,105.04,10,      ,DJA      ,MLv   ,3.7
611402987,DJA      ,1/16/2015,19:25.8,0.25,98.92,16,      ,DJA      ,MLv   ,2.9
611402986,DJA      ,1/16/2015,4:36:05,-0.37,122.96,10,      ,DJA      ,MLv   ,2.9
